Station_No,Alert_Date,Office,State,District,Block,Village,Latitude_Raw,Longitude_Raw,Structure,Depth_mbgl,Collection_Date,Analysis_Date,BIS_Params,pH,EC,CO3,HCO3,Cl,SO4,NO3,F,Ca,Mg,Na,K,SiO2,TH,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Cd,U,Alert_Reason,Remarks,Latitude,Longitude,TDS (mg/L),Date,Status,Location,Aquifer_System,River_Basin
2023-24/4149,2024-06-18,"CGWB, SER",ODISHA,NABARANGAPUR,TENTULIKHUNTI,Anchalguma1,"19°19'25"" N","82°40'42"" E",HP,,1-06-23,06/24,,7.2,318.0,0.0,110.68,39.6,21.9,67.7,0.4,42.1,6.2,19.8,40.0,,130.0,,,,,,,,,,,BDL,,19.323611,82.678333,203.5,1-06-23,Danger,"Anchalguma1, TENTULIKHUNTI (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4153,2024-06-18,"CGWB, SER",ODISHA,NABARANGAPUR,NANDAHANDI,Rangamatiguda,"19°14'05"" N","82°34'18"" E",HP,,1-06-23,06/24,,7.94,1124.0,0.0,314.82,109.5,9.7,2.3,2.5,77.9,18.9,80.2,0.6,,270.0,,,,,,,,,,,0,,19.234722,82.571667,719.4,1-06-23,Danger,"Rangamatiguda, NANDAHANDI (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4159,2024-06-18,"CGWB, SER",ODISHA,NABARANGAPUR,DABUGAN,Dongriguda,"19°27'19"" N","82°23'53"" E",HP,,1-06-23,06/24,,7.98,1461.0,0.0,322.81,236.8,58.8,68.6,0.3,85.8,16.8,125.3,110.6,,282.0,,,,,,,,,,,BDL,,19.455278,82.398056,935.0,1-06-23,Danger,"Dongriguda, DABUGAN (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4162,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,PADMAPUR,Akhusingi,"19°16'25"" N","83°51'31"" E",DW,,1-06-23,06/24,,7.95,1467.0,0.0,178.32,65.3,21.3,42.1,0.5,59.2,5.5,49.5,14.2,,170.0,,,,,,,,,,,0.01,,19.273611,83.858611,938.9,1-06-23,Safe,"Akhusingi, PADMAPUR (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4171,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,RAMANGUDA,Gumda,"19°13'12"" N","83°46'18"" E",DW,,1-06-23,06/24,,7.76,1215.0,0.0,250.87,213.9,59.7,48.3,0.6,85.7,25.3,119.1,16.6,,315.0,,,,,,,,,,,0.01,,19.22,83.771667,777.6,1-06-23,Danger,"Gumda, RAMANGUDA (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4172,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,RAYAGADA,Gumma 1,"19°11'41"" N","83°17'16"" E",DW,,1-06-23,06/24,,7.88,752.0,0.0,314.82,125.3,84.8,86.7,0.9,98.3,38.8,83.0,5.3,,401.0,,,,,,,,,,,0,,19.194722,83.287778,481.3,1-06-23,Danger,"Gumma 1, RAYAGADA (RAYAGADA)",Khondalites,Nagavali
2023-24/4176,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,PADMAPUR,Kenduguda,"19°18'27"" N","83°54'2"" E",DW,,1-06-23,06/24,,7.64,1732.0,0.0,393.52,302.4,43.2,1.8,0.8,126.2,30.4,161.4,1.3,,437.0,,,,,,,,,,,0.01,,19.3075,83.900556,1108.5,1-06-23,Safe,"Kenduguda, PADMAPUR (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4178,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,KOLNARA,Mukundpur,"19°13'32"" N","83°33'32"" E",DW,,1-06-23,06/24,,8.04,581.0,0.0,111.16,37.6,6.4,50.2,0.2,38.5,6.0,26.7,1.9,,120.0,,,,,,,,,,,BDL,,19.225556,83.558889,371.8,1-06-23,Danger,"Mukundpur, KOLNARA (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4179,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,PADMAPUR,Narainpur,"19°21'40"" N","83°58'0"" E",DW,,1-06-23,06/24,,8.19,309.0,0.0,119.07,20.5,3.7,58.1,0.2,36.5,12.4,12.9,1.4,,141.0,,,,,,,,,,,BDL,,19.361111,83.966667,197.8,1-06-23,Danger,"Narainpur, PADMAPUR (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4183,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,RAYAGADA,Shirikona,"19°10'32"" N","83°22'41"" E",DW,,1-06-23,06/24,,8.19,493.0,0.0,71.44,30.6,7.8,54.3,0.3,35.7,5.0,19.2,1.4,,109.0,,,,,,,,,,,BDL,,19.175556,83.378056,315.5,1-06-23,Danger,"Shirikona, RAYAGADA (RAYAGADA)",Alluvium,Nagavali
2023-24/4191,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,KOLNARA,Dumuriguda,"19°22'5"" N","83°26'16"" E",DW,,1-06-23,06/24,,8.02,395.0,0.0,154.79,34.0,10.57,0.22,1.33,36.0,12.0,21.78,1.58,,139.0,,,,,,,,,,,BDL,,19.368056,83.437778,252.8,1-06-23,Safe,"Dumuriguda, KOLNARA (RAYAGADA)",Basement Gneissic Complex,Nagavali
2023-24/4192,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,KASHIPUR,Goudarout Ghati,"19°16'18"" N","83°3'15"" E",DW,,1-06-23,06/24,,8.1,948.0,0.0,245.24,67.0,37.77,143.66,0.53,93.0,31.0,42.34,0.82,,357.0,,,,,,,,,,,BDL,,19.271667,83.054167,606.7,1-06-23,Danger,"Goudarout Ghati, KASHIPUR (RAYAGADA)",Charnockite,Indravati
2023-24/4198,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,PADMAPUR,Jhitika,"19°16'49"" N","83°53'3"" E",DW,,1-06-23,06/24,,7.59,1231.0,0.0,285.77,208.0,76.59,175.62,0.44,115.0,33.0,123.33,3.47,,418.0,,,,,,,,,,,0.01,,19.280278,83.884167,787.8,1-06-23,Danger,"Jhitika, PADMAPUR (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4201,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,GUDARI,Kodama,"19°21'55"" N","83°50'8"" E",DW,,1-06-23,06/24,,7.65,362.0,0.0,71.44,41.0,4.01,95.33,0.19,40.0,9.0,25.77,2.0,,136.0,,,,,,,,,,,BDL,,19.365278,83.835556,231.7,1-06-23,Danger,"Kodama, GUDARI (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4203,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,MUNIGUDA,Muniguda,"19°37'17"" N","83°30'47"" E",DW,,1-06-23,06/24,,8.02,1177.0,0.0,309.59,116.0,93.63,17.32,1.73,115.0,5.0,92.54,5.3,,307.0,,,,,,,,,,,0.01,,19.621389,83.513056,753.3,1-06-23,Danger,"Muniguda, MUNIGUDA (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4205,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,MUNIGUDA,Paikranipinda OW,"19°49'11"" N","83°27'19"" E",DW,,1-06-23,06/24,,7.73,608.0,0.0,226.24,51.0,26.19,80.29,0.21,78.0,23.0,22.91,1.72,,286.0,,,,,,,,,,,BDL,,19.819722,83.455278,389.1,1-06-23,Danger,"Paikranipinda OW, MUNIGUDA (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4206,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,MUNIGUDA,Pandramunda,"19°49'29"" N","83°33'29"" E",DW,,1-06-23,06/24,,7.59,1117.0,0.0,136.93,211.0,54.98,187.95,0.25,129.0,6.0,102.33,0.76,,347.0,,,,,,,,,,,BDL,,19.824722,83.558056,714.9,1-06-23,Danger,"Pandramunda, MUNIGUDA (RAYAGADA)",Charnockite,Vansadhara
2023-24/4210,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,GUDARI,Gudari 1,"19°20'45"" N","83°46'46"" E",HP,,1-06-23,06/24,,7.66,1344.0,0.0,386.98,171.0,44.9,168.41,0.34,137.0,35.0,92.23,36.88,,482.0,,,,,,,,,,,0.012,,19.345833,83.779444,860.2,1-06-23,Danger,"Gudari 1, GUDARI (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4216,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,RAMANGUDA,Ramnaguda DW,"19°12'52"" N","83°40'22"" E",HP,,1-06-23,06/24,,8.14,793.0,0.0,250.05,82.0,34.38,53.66,0.26,93.0,18.0,39.01,5.92,,305.0,,,,,,,,,,,BDL,,19.214444,83.672778,507.5,1-06-23,Danger,"Ramnaguda DW, RAMANGUDA (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4219,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,PADMAPUR,Akhusingi,"19°16'25"" N","83°51'31"" E",HP,,1-06-23,06/24,,8.13,1065.0,0.0,419.13,84.0,47.83,44.21,0.56,115.0,24.0,58.37,39.97,,383.0,,,,,,,,,,,0.006,,19.273611,83.858611,681.6,1-06-23,Safe,"Akhusingi, PADMAPUR (RAYAGADA)",Basement Gneissic Complex,Vansadhara
/2023-2024/4098,2024-07-02,"CGWB, SER",ODISHA,KALAHANDI,JUNAGARH,Badbasul,"19°50'8"" N","82°50'15"" E",Dug Well,,2023-11-01,06/24,,8.22,954.0,0.0,190.6,183.0,3.0,28.4,0.32,51.0,25.0,96.0,32.6,,230.3,,,,,,,,,,,BDL,,19.835556,82.8375,610.6,2023-11-01,Safe,"Badbasul, JUNAGARH (KALAHANDI)",Basement Gneissic Complex,Mahanadi
/2023-2024/4099,2024-07-02,"CGWB, SER",ODISHA,KALAHANDI,LANJIGARH,Bakatpur,"19°50'36"" N","83°25'26"" E",Dug Well,,2023-11-02,06/24,,8.01,892.0,0.0,315.5,91.0,66.0,9.8,1.91,45.0,59.0,62.0,3.9,,355.3,,,,,,,,,,,BDL,,19.843333,83.423889,570.9,2023-11-02,Danger,"Bakatpur, LANJIGARH (KALAHANDI)",Charnockite,Vansadhara
/2023-2024/4105,2024-07-02,"CGWB, SER",ODISHA,KALAHANDI,JUNAGARH,Charbahal,"19°44'27"" N","82°48'41"" E",Dug Well,,2023-11-03,06/24,,8.28,735.0,0.0,348.4,35.0,10.0,3.8,1.03,12.0,62.0,34.0,0.3,,285.3,,,,,,,,,,,BDL,,19.740833,82.811389,470.4,2023-11-03,Safe,"Charbahal, JUNAGARH (KALAHANDI)",Basement Gneissic Complex,Mahanadi
/2023-2024/4106,2024-07-02,"CGWB, SER",ODISHA,KALAHANDI,JUNAGARH,Dasigaon 1,"19°41'52"" N","82°53'57"" E",Dug Well,,2023-11-04,06/24,,8.3,1212.0,0.0,262.9,130.0,140.0,38.4,2.7,49.0,61.0,73.0,82.0,,373.6,,,,,,,,,,,BDL,,19.697778,82.899167,775.7,2023-11-04,Danger,"Dasigaon 1, JUNAGARH (KALAHANDI)",Basement Gneissic Complex,Mahanadi
/2023-2024/4109,2024-07-02,"CGWB, SER",ODISHA,KALAHANDI,THUAMUL RAM PUR,Gunupur,"19°36'30"" N","83°7'0"" E",Dug Well,,2023-11-05,06/24,,7.95,988.0,0.0,374.7,87.0,19.0,5.2,0.3,90.0,33.0,45.0,25.8,,360.6,,,,,,,,,,,BDL,,19.608333,83.116667,632.3,2023-11-05,Safe,"Gunupur, THUAMUL RAM PUR (KALAHANDI)",Charnockite,Nagavali
/2023-2024/4110,2024-07-02,"CGWB, SER",ODISHA,KALAHANDI,JAYAPATNA,Jaipatna 1,"19°28'25"" N","82°48'23"" E",Dug Well,,2023-11-06,06/24,,7.88,575.0,0.0,65.7,91.3,55.0,10.0,1.01,43.84,18.0,38.6,3.8,,183.6,,,,,,,,,,,BDL,,19.473611,82.806389,368.0,2023-11-06,Safe,"Jaipatna 1, JAYAPATNA (KALAHANDI)",Basement Gneissic Complex,Mahanadi
AN4,2024-07-02,"CGWB, SER",ODISHA,ANUGUL,CHHENDIPADA,Bagharia,"21°6'25"" N","84°48'57"" E",Dug Well,,2023-11-07,06/24,,7.45,916.0,0.0,328.7,126.0,38.4,2.9,0.29,65.0,22.08,52.0,87.2,,253.2,,,,,,,,,,,BDL,,21.106944,84.815833,586.2,2023-11-07,Safe,"Bagharia, CHHENDIPADA (ANUGUL)",Sandstone,Brahmani
AN7,2024-07-02,"CGWB, SER",ODISHA,ANUGUL,BANARPAL,Banarpal 2,"20°50'26"" N","85°12'51"" E",Dug Well,,2023-11-08,06/24,,7.95,741.0,0.0,190.6,39.0,94.0,45.0,0.28,38.0,34.08,55.0,10.2,,235.2,,,,,,,,,,,BDL,,20.840556,85.214167,474.2,2023-11-08,Safe,"Banarpal 2, BANARPAL (ANUGUL)",Basement Gneissic Complex,Brahmani
AN9,2024-07-02,"CGWB, SER",ODISHA,ANUGUL,ANUGUL,Barhabahal,"20°45'18"" N","85°6'0"" E",Dug Well,,2023-11-09,06/24,,7.8,1826.0,0.0,131.5,305.0,280.0,1.7,1.95,110.0,49.98,196.0,5.1,,480.5,,,,,,,,,,,BDL,,20.755,85.1,1168.6,2023-11-09,Danger,"Barhabahal, ANUGUL (ANUGUL)",Basement Gneissic Complex,Brahmani
AN11,2024-07-02,"CGWB, SER",ODISHA,ANUGUL,BANARPAL,Bhogabereni,"20°53'30"" N","85°12'50"" E",Dug Well,,2023-11-10,06/24,,8.14,2250.0,0.0,854.5,260.0,80.0,26.0,0.7,98.0,48.0,281.0,114.7,,442.4,,,,,,,,,,,BDL,,20.891667,85.213889,1440.0,2023-11-10,Safe,"Bhogabereni, BANARPAL (ANUGUL)",Sandstone,Brahmani
AN35,2024-07-02,"CGWB, SER",ODISHA,ANUGUL,KANIHA,Samal,"21°4'20"" N","85°8'30"" E",Dug Well,,2023-11-11,06/24,,7.88,621.0,0.0,92.0,83.7,42.4,11.0,1.24,33.2,16.0,45.2,5.6,,148.8,,,,,,,,,,,BDL,,21.072222,85.141667,397.4,2023-11-11,Safe,"Samal, KANIHA (ANUGUL)",Quartzite,Brahmani
AN37,2024-07-02,"CGWB, SER",ODISHA,ANUGUL,TALACHER,Sendhogram,"20°55'32"" N","85°14'0"" E",Dug Well,,2023-11-12,06/24,,7.11,1990.0,0.0,394.4,345.0,100.0,40.0,1.01,44.0,99.74,212.0,10.0,,520.6,,,,,,,,,,,BDL,,20.925556,85.233333,1273.6,2023-11-12,Safe,"Sendhogram, TALACHER (ANUGUL)",Sandstone,Brahmani
AN41,2024-07-02,"CGWB, SER",ODISHA,ANUGUL,TALACHER,Tentulai,"20°55'10"" N","85°10'23"" E",Dug Well,,2023-11-13,06/24,,8.14,940.0,0.0,262.9,88.0,55.0,22.8,0.55,43.0,29.11,75.0,20.0,,227.2,,,,,,,,,,,BDL,,20.919444,85.173056,601.6,2023-11-13,Safe,"Tentulai, TALACHER (ANUGUL)",Sandstone,Brahmani
CT 3,2024-07-02,"CGWB, SER",ODISHA,CUTTACK,NARASINGHPUR,Balijhari 1,"20°24'38"" N","85°13'10"" E",Dug Well,,2023-11-15,06/24,,8.15,1562.0,0.0,460.1,185.0,84.0,18.0,0.19,74.0,49.0,121.3,86.1,,386.6,,,,,,,,,,,BDL,,20.410556,85.219444,999.7,2023-11-15,Safe,"Balijhari 1, NARASINGHPUR (CUTTACK)",Alluvium,Mahanadi
DK 11,2024-07-02,"CGWB, SER",ODISHA,DHENKANAL,BHUBAN,Bhuban 1,"20°52'56"" N","85°50'1"" E",Dug Well,,2023-11-16,06/24,,8.12,910.0,0.0,256.4,131.0,17.0,31.4,0.2,62.0,28.0,74.0,18.5,,270.1,,,,,,,,,,,BDL,,20.882222,85.833611,582.4,2023-11-16,Safe,"Bhuban 1, BHUBAN (DHENKANAL)",Alluvium,Brahmani
DK 13,2024-07-02,"CGWB, SER",ODISHA,DHENKANAL,ODAPADA,Dhaulpur,"20°47'40"" N","85°21'25"" E",Dug Well,,2023-11-17,06/24,,7.95,2019.0,0.0,328.7,440.0,30.0,14.0,0.26,45.0,42.0,326.0,9.6,,285.3,,,,,,,,,,,BDL,,20.794444,85.356944,1292.2,2023-11-17,Safe,"Dhaulpur, ODAPADA (DHENKANAL)",Alluvium,Brahmani
2024-25/8,2024-07-18,"CGWB, SER",ODISHA,cuttack,Cuttack sadar,C-12 Nimasahi (Haripur),20.4661,85.8753,DW,,1-05-24,07/24,,8.03,960.0,0.0,395.97,73.8,51.0,0.9,0.2,69.4,27.1,95.0,16.0,,301.0,,,,,,,,,,,BDL,,20.4661,85.8753,614.4,1-05-24,Safe,"C-12 Nimasahi (Haripur), Cuttack sadar (cuttack)",Alluvium,Mahanadi
2024-25/9,2024-07-18,"CGWB, SER",ODISHA,cuttack,Cuttack sadar,C-13 Mahammadia bazar,20.4708,85.8583,DW,,1-05-24,07/24,,7.73,858.0,0.0,347.39,59.9,33.8,38.2,0.1,48.2,55.2,82.0,13.0,,257.0,,,,,,,,,,,BDL,,20.4708,85.8583,549.1,1-05-24,Safe,"C-13 Mahammadia bazar, Cuttack sadar (cuttack)",Alluvium,Mahanadi
2024-25/10,2024-07-18,"CGWB, SER",ODISHA,cuttack,Cuttack sadar,C-26 Jagatpur -2,20.4978,85.9228,DW,,1-05-24,07/24,,8.01,845.0,0.0,273.96,32.1,116.6,38.4,0.3,21.7,14.9,95.0,28.8,,353.0,,,,,,,,,,,BDL,,20.4978,85.9228,540.8,1-05-24,Safe,"C-26 Jagatpur -2, Cuttack sadar (cuttack)",Alluvium,Mahanadi
2024-25/11,2024-07-18,"CGWB, SER",ODISHA,cuttack,Mahanga,Dharma shyamsundarpur,20.5481,86.1769,HP,,1-05-24,07/24,,8.29,1457.0,0.0,556.39,50.8,176.7,0.9,1.3,165.1,5.5,116.1,15.4,,351.0,,,,,,,,,,,BDL,,20.5481,86.1769,932.5,1-05-24,Safe,"Dharma shyamsundarpur, Mahanga (cuttack)",Alluvium,Mahanadi
2024-25/12,2024-07-18,"CGWB, SER",ODISHA,cuttack,kantapada,Dimiri 1,20.2467,86.025,DW,,1-05-24,07/24,,8.15,1340.0,0.0,593.1,146.3,14.6,7.7,0.5,101.3,69.7,100.4,37.7,,402.0,,,,,,,,,,,BDL,,20.2467,86.025,857.6,1-05-24,Safe,"Dimiri 1, kantapada (cuttack)",Alluvium,Mahanadi
2024-25/13,2024-07-18,"CGWB, SER",ODISHA,cuttack,Niali,Kasarda,20.2119,86.0733,DW,,1-05-24,07/24,,8.12,1471.0,0.0,562.04,118.0,71.8,39.4,0.2,88.7,85.2,122.6,31.5,,432.0,,,,,,,,,,,BDL,,20.2119,86.0733,941.4,1-05-24,Safe,"Kasarda, Niali (cuttack)",Alluvium,Mahanadi
2024-25/14,2024-07-18,"CGWB, SER",ODISHA,cuttack,Niali,Madhab,20.0792,86.1028,DW,,1-05-24,07/24,,8.14,1211.0,0.0,386.93,114.6,88.8,39.2,0.18,85.1,47.7,102.4,24.6,,354.0,,,,,,,,,,,BDL,,20.0792,86.1028,775.0,1-05-24,Safe,"Madhab, Niali (cuttack)",Alluvium,Mahanadi
2024-25/15,2024-07-18,"CGWB, SER",ODISHA,cuttack,Niali,Niali,20.1308,86.0644,DW,,1-05-24,07/24,,7.86,1045.0,0.0,338.92,106.4,62.3,37.4,0.05,65.5,53.8,91.1,20.1,,308.0,,,,,,,,,,,BDL,,20.1308,86.0644,668.8,1-05-24,Safe,"Niali, Niali (cuttack)",Alluvium,Mahanadi
2024-25/16,2024-07-18,"CGWB, SER",ODISHA,cuttack,Cuttack sadar,Tangi  1,20.5578,85.9894,DW,,1-05-24,07/24,,8.08,1844.0,0.0,450.76,328.5,98.4,0.6,0.5,216.0,55.2,102.1,32.4,,385.0,,,,,,,,,,,BDL,,20.5578,85.9894,1180.2,1-05-24,Safe,"Tangi  1, Cuttack sadar (cuttack)",Laterite,Brahmani
2024-25/28,2024-07-18,"CGWB, SER",ODISHA,Jajpur,Dharmasala,Baruda,20.7828,86.0703,DW,,1-05-24,07/24,,8.28,1480.0,0.0,804.93,44.0,12.8,1.3,0.9,185.8,1.0,105.1,19.1,,339.0,,,,,,,,,,,BDL,,20.7828,86.0703,947.2,1-05-24,Safe,"Baruda, Dharmasala (Jajpur)",Alluvium,Brahmani
2024-25/29,2024-07-18,"CGWB, SER",ODISHA,Jajpur,Dharmasala,Dankari,20.775,86.0606,DW,,1-05-24,07/24,,8.24,1408.0,0.0,660.89,97.9,9.5,11.1,1.4,176.3,1.2,98.0,18.9,,320.0,,,,,,,,,,,BDL,,20.775,86.0606,901.1,1-05-24,Safe,"Dankari, Dharmasala (Jajpur)",Alluvium,Brahmani
2024-25/30,2024-07-18,"CGWB, SER",ODISHA,Jajpur,Dasarathpur,Dasarathpur,20.8344,86.4467,DW,,1-05-24,07/24,,7.75,801.0,0.0,350.78,49.7,41.8,0.1,0.1,39.8,70.1,65.2,14.8,,222.0,,,,,,,,,,,BDL,,20.8344,86.4467,512.6,1-05-24,Safe,"Dasarathpur, Dasarathpur (Jajpur)",Alluvium,Baitarani
